player_name,dob,batting_hand,bowling_skill,country,age
A Ashish Reddy,1991-02-24,Right_Hand,Right-arm medium,India,35.0
A Chandila,1983-12-05,Right_Hand,Right-arm offbreak,India,43.0
A Chopra,1977-09-19,Right_Hand,Right-arm offbreak,India,49.0
A Choudhary,,Right_Hand,Left-arm fast-medium,,
A Dananjaya,,Right_Hand,Right-arm offbreak,,
A Flintoff,1977-12-06,Right_Hand,Right-arm fast-medium,England,49.0
A Hales,,Right_Hand,,,
A Joseph,,Right_Hand,Right-arm fast,,
A Kumble,1970-10-17,Right_Hand,Legbreak googly,India,56.0
A Mishra,1982-11-24,Right_Hand,Legbreak,India,44.0
A Mithun,1989-10-25,Right_Hand,Right-arm medium,India,37.0
A Mukund,1990-01-06,Right_Hand,Legbreak googly,India,36.0
A Nehra,1979-04-29,Right_Hand,Left-arm medium-fast,India,47.0
A Nel,1977-07-15,Right_Hand,Right-arm fast-medium,South Africa,49.0
A Roy,,Left_Hand,Slow left-arm orthodox,,
A Singh,1981-06-21,Right_Hand,Right-arm medium-fast,India,45.0
A Symonds,1975-06-09,Right_Hand,Right-arm offbreak,Australia,51.0
A Turner,,Right_Hand,,,
A Uniyal,1981-11-21,Right_Hand,Left-arm medium,India,45.0
A Zampa,1992-03-31,Right_Hand,Legbreak googly,Australia,34.0
AA Bilakhia,1986-05-31,Right_Hand,Right-arm medium,India,40.0
AA Chavan,1985-10-28,Right_Hand,Slow left-arm orthodox,India,41.0
AA Jhunjhunwala,1982-12-01,Right_Hand,Right-arm offbreak,India,44.0
AA Kazi,1989-09-29,Right_Hand,Slow left-arm orthodox,India,37.0
AA Noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia,49.0
AB Agarkar,1977-12-04,Right_Hand,Right-arm fast,India,49.0
AB Barath,1990-04-14,Left_Hand,Right-arm offbreak,India,36.0
AB de Villiers,1984-02-17,Right_Hand,Right-arm medium,South Africa,42.0
AB Dinda,1984-03-25,Right_Hand,Right-arm medium-fast,India,42.0
AB McDonald,1981-06-05,Right_Hand,Right-arm fast-medium,Australia,45.0
Abdur Razzak,1982-06-15,Left_Hand,Slow left-arm orthodox,Bangladesh,44.0
AC Blizzard,1984-06-27,Left_Hand,Left-arm medium,Australia,42.0
AC Gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia,55.0
AC Thomas,1977-02-09,Right_Hand,Right-arm fast-medium,England,49.0
AC Voges,1979-10-04,Right_Hand,Slow left-arm orthodox,Australia,47.0
AD Mascarenhas,1977-10-30,Right_Hand,Right-arm fast-medium,England,49.0
AD Mathews,1987-06-02,Right_Hand,Right-arm fast-medium,Sri Lanka,39.0
AD Nath,1993-05-10,Right_Hand,Right-arm medium-fast,India,33.0
AD Russell,1988-04-29,Right_Hand,Right-arm fast,West Indies,38.0
AF Milne,1992-04-13,Right_Hand,Right-arm fast,New Zealand,34.0
AG Murtaza,1990-01-01,Left_Hand,Slow left-arm orthodox,India,36.0
AG Paunikar,1988-04-18,Right_Hand,,India,38.0
AJ Finch,1986-11-17,Right_Hand,Slow left-arm orthodox,Australia,40.0
AJ Tye,,Right_Hand,Right-arm fast-medium,,
AL Menaria,1990-10-29,Left_Hand,Slow left-arm orthodox,India,36.0
AM Nayar,1983-10-08,Left_Hand,Right-arm medium,India,43.0
AM Rahane,1988-06-06,Right_Hand,Right-arm medium,India,38.0
AM Salvi,1981-10-20,Right_Hand,Right-arm medium,India,45.0
AN Ahmed,1988-11-05,Right_Hand,Right-arm medium-fast,India,38.0
AN Ghosh,1986-10-19,Right_Hand,Right-arm medium,India,40.0
Anand Rajan,1987-04-17,Right_Hand,Right-arm medium,India,39.0
Anirudh Singh,1980-08-02,Left_Hand,Right-arm medium,India,46.0
Ankit Sharma,1991-04-20,Left_Hand,Slow left-arm orthodox,India,35.0
Ankit Soni,,Right_Hand,Legbreak,,
Anureet Singh,1988-03-02,Right_Hand,Right-arm medium,India,38.0
AP Dole,1987-10-09,Right_Hand,Right-arm medium-fast,India,39.0
AP Majumdar,1984-04-30,Right_Hand,Legbreak googly,India,42.0
AP Tare,1987-11-07,Right_Hand,,India,39.0
AR Bawne,,Right_Hand,,,
